,stret_id,txt,sity_id,id
0,16,Gyumri Avznotsi street Giumri ulitsa Avznotsi Gyowmri Avznots`i p`oghots`,4,1
1,29,Gyumri Gorki Street Giumri ulitsa Gor'kogo Gyowmri Gorkow p`oghots`,4,2
2,160,Gyumri Melikyan street Giumri ulitsa Melikiana Gyowmri Melik`yan p`oghots`,4,3
3,14,Gyumri 7th street Ani district Giumri 7-ia ulitsa kvartala Ani Gyowmri Ani t`aghamasi 7-rd p`oghots`,4,4
4,1,Gyumri 26 Komisarneri Street 2nd backstreet Giumri 2-i pereulok ulitsy 26 Komissarov Gyowmri 26 komisarneri p`oghots`i 2-rd nrbants`k`,4,5
5,2,Gyumri 8th district Giumri 8-i kvartal Gyowmri 8-rd t`aghamas,4,6
6,3,"Gyumri Sargsyan 2nd backstreet Giumri Sargsiana, 2 pereulok Gyowmri Sargsiana, 2 pereulok",4,7
7,4,Gyumri Abovyan street Giumri ulitsa Aboviana Gyowmri Abovyan p`oghots`,4,8
8,5,Gyumri Atarbekyan street Giumri ulitsa Atarbekiana Gyowmri At`arbekyan p`oghots`,4,9
9,6,Gyumri Atoyan street Giumri ulitsa Atoiana Gyowmri At`oyan p`oghots`,4,10
10,7,Gyumri Alek Manukyan street Giumri ulitsa Aleka Manukiana Gyowmri Alek` Manowkyan p`oghots`,4,11
11,8,Gyumri Akhuryan Highway Giumri Akhurian shosse Gyowmri Akhowryani khchowghi,4,12
12,9,Gyumri Aghyusi street Giumri ulitsa Agiusi Gyowmri Aghyowsi p`oghots`,4,13
13,10,Gyumri Aygabats 1st lane Giumri 1-ia liniia Aigabatsa Gyowmri Aygabats`i 1-in shark`,4,14
14,11,Gyumri Aygabats 4nd lane Giumri 4-ia liniia Aigabatsa Gyowmri Aygabats`i 4-rd shark`,4,15
15,12,Gyumri Ayvazovsky 2nd backstreet Giumri 2-i pereulok ulitsy Aivazovskogo Gyowmri Ayvazovskow 2-rd nrbants`k`,4,16
16,13,Gyumri 15th street Ani district Giumri 15-ia ulitsa kvartala Ani Gyowmri Ani t`aghamasi 15-rd p`oghots`,4,17
17,351,Gyumri 4th street Giumri 4-ia ulitsa Gyowmri 4rd p`oghots`,4,18
18,15,Gyumri Ankakhutyan Square Giumri ploshchad' Nezavisimosti Gyowmri Ankakhowt`yan hraparak,4,19
19,17,Gyumri Aragats district Giumri kvartal Aragats Gyowmri Aragats t`aghamas,4,20
20,18,Gyumri Bagratunyats Square Giumri Ploshchad' Bagratuniats Gyowmri Bagratownyats` hraparak,4,21
21,19,Gyumri Baghramyan street Giumri ulitsa Bagramiana Gyowmri Baghramyan p`oghots`,4,22
