,street_name,stret_id
0,26 կոմիսարների փողոց,1
1,Abovyan street,2
3,Абовян ул.,3
4,Աբովյան 1-ին նրբանցք,4
5,Աբովյան փողոց,5
6,Ալեք Մանուկյան փողոց,6
7,Աճեմյան փողոց,7
8,Անկախության հրապարակ,8
9,Ավտոկայարանի հրապարակ,9
10,Արագած փողոց,10
11,Արագածի փողոց,11
12,Բագրատունյաց հրապարակ,12
13,Գայի փողոց,13
14,Գոգոլի փողոց,14
15,Գորգանյան փողոց,15
16,Գործարանային նրբանցք,16
17,Գորկու փողոց,17
18,Իսահակյան փողոց,18
19,Լալայան փողոց,19
20,Ծուլուկիձե փողոց,20
21,Կոտովսկու փողոց,21
22,Հակոբ Հակոբյան,22
23,Հակոբյան 1-ին նրբանցք,23
24,Հակոբյան փողոց,24
25,Հաղթանակի պողոտա,25
26,Հանեսօղլյան 1-ին նրբանցք,26
27,Հանեսօղլյան փողոց,27
28,Հովհաննես Թումանյան փողոց,28
29,Հովհաննես Շիրազի 1-ին նրբանցք,29
30,Հովհաննես Շիրազի փողոց,30
31,Ղանդիլյան 1-ին փակուղի,31
32,Ղարիբջանյան խճուղի,32
33,Ղարսի խճուղի,33
34,Ղորղանյան 7-րդ նրբանցք,34
35,Ղորղանյան փողոց,35
36,Մայակովսկու փողոց,36
37,Մարքսի 1-ին նրբանցք,37
38,Նալբանդյան փողոց,38
39,Շահումյան փողոց,39
40,Շիրակացու փողոց,40
41,Շչորսի փողոց,41
42,Պուշկինի 1-ին նրբանցք,42
43,Պուշկինի 3-րդ նրբանցք,43
44,Պուշկինի 4-րդ նրբանցք,44
45,Պուշկինի փողոց,45
46,Ջափարիձե փողոց,46
47,Ջիվան փողոց,47
48,Ջիվանի փողոց,48
49,Ռիժկովի փողոց,49
50,Ռուսթավելի 1-ին նրբանցք,50
51,Ռուսթավելի 2-րդ նրբանցք,51
52,Ռուսթավելի փողոց,52
53,Ռուսթավելի փողոցի 3-րդ նրբանցք,53
54,Ս.Համբարձումյանի 2-րդ նրբանցք,54
55,Ս.Համբարձումյանի փողոց,55
56,Սահմանապահ փողոց,56
57,Սայաթ-Նովայի պողոտա,57
58,Սպանդարյան փողոց,58
59,Վ. Չերազ փողոց,59
60,Վահան տերյան 1-ին նրբանցք,60
61,Վարդանանց հրապարակ,61
62,Վարպետաց փողոց,62
63,Տեր-Գաբրիելյան փողոց,63
64,Տերյան փողոց,64
65,Տիգրանյան փողոց,65
66,Ցուլուկիձե փողոց,66
67,Ցուլուկիձեյի 2-րդ նրբանցք,67
68,Օզանյան փողոց,68
69,Օստրովսկու փողոց,69
70,Ֆուրմանով փողոցի 1-ին նրբանցք,70
71,Ֆուրմանովի 2-րդ նրբանցք,71
72,Ֆուրմանովի 3-րդ նրբանցք,72
73,Ֆուրմանովի փողոց,73
74,եպիսկոպոս Արտակ Սմբատյանի փողոց,74
75,Mher Mkrtchyan street,75
76,Ալեքսանդր Գերցենի փողոց,76
77,Ալեքսանդր Հերզենի փողոց,77
78,Այվազովսկու 1-ին նրբանցք,78
79,Այվազովսկու 2-րդ նրբանցք,79
80,Այվազովսկու 3-րդ նրբանցք,80
81,Այվազովսկու փողոց,81
82,Արմեն Եսայան փողոց,82
83,Բաշինջաղյան փողոց,83
84,Բարոնյան փողոց,84
85,Գարեգին Նժդեհի պողոտա,85
86,Գերցենի 1-ին նրբանցք,86
87,Գերցենի 2-րդ նրբանցք,87
88,Գերցենի 4-րդ նրբանցք,88
89,Գերցենի 5-րդ նրբանցք,89
90,Գերցենի 6-րդ նրբանցք,90
91,Գերցենի 7-րդ նրբանցք,91
92,Գրիբոյեդովի փողոց,92
93,Թամանյան փողոց,93
94,Խանջյան փողոց,94
95,Խնկոյան նրբանցք,95
