,street_name,stret_id
0,Շիրակացու փողոց,1
1,Մազմանյան փողոց,2
2,Սուրեն Մատնիշյան փողոց,3
3,L. Մադոյան փողոց,4
4,Մյանսիկյան փողոց,5
5,Ղուկասյան փողոց,6
6,Ղորղանյան փողոց,7
7,Սունդուկյան փողոց,8
8,Աբովյան փողոց,9
9,Ղանդիլյանի փողոց,10
10,Լալայան փողոց,11
11,Ռուսթավելի փողոց,12
12,26 կոմիսարների փողոց,13
13,Աղյուսի փողոց,14
14,Շահումյան փողոց,15
15,Մեքենավարների փողոց,16
16,Կարեն Դեմիրճյան փողոց,17
17,Երևանյան խճուղի,18
18,Կամո փողոց,19
19,Մայակովսկու փողոց,20
20,Ջիվանի փողոց,21
21,Վազգեն Սարգսյանի փողոց,22
22,Մուսայելյան փողոց,23
23,Կնունյանց փողոց,24
24,Խրիմյան Հայրիկ խճուղի,25
25,Հակոբյան փողոց,26
26,Արմեն Եսայան փողոց,27
27,Շիրվանզադեի փողոց,28
28,Վազգեն Սարգսյան փողոցի 1-ին թաղամաս,29
29,Տիմիրյազևի փողոց,30
30,Մոցարտի փողոց,31
31,Բաղրամյան փողոց,32
32,Գորկու փողոց,33
33,Մովսես Խորենացու փողոց,34
34,Վահան Տերյանի փողոց,35
35,Մուշ 2 թաղամաս,36
36,Դաշտենցի փողոց,37
37,Տիգրան Մեծի պողոտա,38
38,Խաչատրյան փողոց,39
39,Գարեգին Նժդեհի պողոտա,40
40,Պարոնյան փողոց,41
41,Տրդատ Ճարտարապետի փողոց,42
42,Սպանդարյան փողոց,43
43,Գոգոլի փողոց,44
44,Կոմիտասի փողոց,45
45,Կուրղինյան փողոց,46
46,Նիզամ փողոց,47
47,Ստեփան Շահումյան փողոց,48
48,Ջամբուլ փողոց,49
49,Աղայան փողոց,50
50,Հաղթանակի պողոտա,51
51,Սահմանապահ փողոց,52
52,Ավզնոցի փողոց,53
53,Ալեքսանդր Գերցենի փողոց,54
54,Գարեգին Ա կաթողիկոսի փողոց,55
55,Պարույր Սևակի փողոց,56
56,Աթարբեկյան փողոց,57
57,Մելիքյան փողոց,58
58,Ալավերդյան փողոց,59
59,Խ․Աբովյան փողոցի 1-ին նրբանցք,60
60,Կաթսայատան փողոց,61
61,Պուշկինի փողոց,62
62,Աճեմյան փողոց,63
63,Արտյոմ Պետրոսյան փողոց,64
64,Օդանավակայանի 3-րդ թաղամաս,65
65,Ֆուրմանովի փողոց,66
66,Տոլստոյ փողոց,67
67,Չարենցի փողոց,68
68,Իսահակյան փողոց,69
69,Մհեր Մկտրչյանի փողոց,70
70,Պռոշյան փողոց,71
71,Ֆ.Վերֆելի փողոց,72
72,Դեկաբրիստի փողոց,73
73,Ծննդատան փողոց,74
74,Հանեսօղլյան փողոց,75
75,Լազո փողոց,76
76,Թումանյան փողոց,77
77,Կազակական փոստ թաղամաս,78
78,Ջիվան փողոց,79
79,Ցուլուկիձե փողոց,80
80,Կարեն Դեմիրճյան 6-րդ նրբանցք,81
81,Արամ Խաչատրյան փողոց,82
82,Մերկուրովի փողոց,83
83,Չերնիշևսկու փողոց,84
84,Օդանավակայանի 2-րդ թաղամաս,85
85,Այգաբացի 2-րդ շարք,86
86,Դանիելյան փողոց,87
87,Ջափարիձե փողոց,88
88,Կոմսոմոլ փողոց,89
89,Անտառավան 5-րդ փողոց,90
90,Կարեն Դեմիրճյան 7-րդ նրբանցք,91
91,Մինաս Ավետիսյան փողոց,92
92,Մանուշյան փողոց,93
93,Տեր-Գաբրիելյան փողոց,94
94,Կարեն Դեմիրճյան 8-րդ նրբանցք,95
95,8-րդ թաղամաս,96
96,Այգաբացի 3-րդ շարք,97
97,Ղանդիլյան փողոց 1-ին նրբանցք,98
98,Նար-Դոս փողոց,99
99,Այգաբացի 5-րդ շարք,100
100,Անի թաղամասի 11-րդ փողոց,101
101,Անի թաղամասի 13-րդ փողոց,102
102,Ֆուրմանովի 4-րդ նրբանցք,103
103,Ժդանովի փողոց,104
104,Ավետիսյան փողոց,105
105,Անի թաղամասի 7-րդ փողոց,106
106,Սպարտակի փողոց,107
107,Սայաթ-Նովայի պողոտա,108
108,Ռուսթավելի փողոցի 3-րդ նրբանցք,109
109,Գրիբոյեդովի փողոց,110
110,Լ. Մադոյան փողոց,111
111,Սարգսյան փողոց,112
112,Բուլվարային փողոց,113
113,Բելինսկու փողոց,114
114,Անտառավան 3-րդ փողոց,115
115,Խնկոյան փողոց,116
116,Փանյան փողոց,117
117,Մազմանյան 1-ին նրբանցք,118
118,Ալեք Մանուկյան փողոց,119
119,Կոտովսկու փողոց,120
120,Մարգարետ Թետչեր փողոց,121
121,Կոշտոյան փողոց,122
122,Տիմիրյազևի 2-րդ նրբանցք,123
123,Մարատի փողոց,124
124,Ախուրյանի խճուղի,125
125,Ա. Կրիտյան փողոց,126
126,Նելսոն Ստեփանյան փողոց,127
127,Թելման փողոց,128
128,Ռասկատլյան փողոց,129
129,Գերցենի 5-րդ նրբանցք,130
130,Մենդելեև փողոց,131
131,Չեխովի փողոց,132
132,Գործարանային նրբանցք,133
133,Գերցենի 6-րդ նրբանցք,134
134,Ղուկասյան 12 և 13-րդ շարքեր,135
135,"Գ.Սարգսյան փողոց, 2-րդ նրբանցք",136
136,Լազոյի փողոց,137
137,Սպենդիարովի փողոց,138
138,Ղարիբջանյան փողոց,139
139,Մսի Կոմբինատ 2-րդ շարք,140
140,Կարեն Խաչատրյան փողոց,141
141,Բարոնյան փողոց,142
142,Տեքստիլագործների փողոց,143
143,Դերենիկ Դեմրիճյան փողոց,144
144,Բորյան փողոց,145
145,Այգաբացի 4-րդ շարք,146
146,Սավոյան փողոց,147
147,Կարեն Դեմիրճյանի 2-րդ նրբանցք,148
148,Պավլովի 1-ին նրբանցք,149
149,Ղարսի խճուղի,150
150,Շչեդրինի փողոց,151
151,Մատրոսով փողոց,152
152,Մսի Կոմբինատ 4-րդ շարք,153
153,Մսի Կոմբինատ 3-րդ շարք,154
154,Վահան տերյան 1-ին նրբանցք,155
155,Ֆուրմանով փողոցի 1-ին նրբանցք,156
156,Խանջյան փողոց,157
157,Ն. Շնորհալի փողոց,158
158,"Քութաիսյան 1-ին նրբանցք,1-ին շարք",159
159,Կոմինտերնի 1-ին նրբանցք,160
160,Պավլովի 2-րդ նրբանցք,161
161,Գայի փողոց,162
